link,downloaded,file_name
https://www.academia.edu/download/91626649/j.conbuildmat.2013.06.08920220927-1-156tgs1.pdf,True,pdf_new/j.conbuildmat.2013.06.08920220927-1-156tgs1.pdf
https://www.cell.com/biophysj/pdf/S0006-3495(20)30397-0.pdf,True,pdf_new/S0006-3495(20)30397-0.pdf
https://www.mdpi.com/1422-0067/24/7/6785/pdf,True,pdf_new/pdf
https://www.pure.ed.ac.uk/ws/portalfiles/portal/132366186/20200129_Cumby_final_submission.pdf,True,pdf_new/20200129_Cumby_final_submission.pdf
https://www.academia.edu/download/89395631/s00289-016-1863-420220808-1-1dqvpho.pdf,True,pdf_new/s00289-016-1863-420220808-1-1dqvpho.pdf
https://www.researchgate.net/profile/Parisa-Niloofar/publication/354404017_Data-Driven_Decision_Support_in_Livestock_Farming_for_Improved_Animal_Health_Welfare_and_Greenhouse_Gas_Emissions_Overview_and_Challenges/links/6137541a38818c2eaf889163/Data-Driven-Decision-Support-in-Livestock-Farming-for-Improved-Animal-Health-Welfare-and-Greenhouse-Gas-Emissions-Overview-and-Challenges.pdf,True,pdf_new/Data-Driven-Decision-Support-in-Livestock-Farming-for-Improved-Animal-Health-Welfare-and-Greenhouse-Gas-Emissions-Overview-and-Challenges.pdf
https://dspace.library.uu.nl/bitstream/handle/1874/412684/s41563_021_01014_2.pdf?sequence=1,True,pdf_new/s41563_021_01014_2.pdf?sequence=1
https://www.researchgate.net/profile/Christoph-Zechmeister/publication/335474126_Design_for_Long-Span_Core-Less_Wound_Structural_Composite_Building_Elements/links/5f19b963299bf1720d5e3cdf/Design-for-Long-Span-Core-Less-Wound-Structural-Composite-Building-Elements.pdf,True,pdf_new/Design-for-Long-Span-Core-Less-Wound-Structural-Composite-Building-Elements.pdf
https://www.mdpi.com/1996-1944/15/7/2497/pdf,True,pdf_new/pdf
https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62b60865e84dd185e60214af/original/an-extensible-software-platform-for-accelerating-polymer-discovery-through-informatics-and-artificial-intelligence-development.pdf,True,pdf_new/an-extensible-software-platform-for-accelerating-polymer-discovery-through-informatics-and-artificial-intelligence-development.pdf
https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/235387/1/rishsh_01400_8.pdf,True,pdf_new/rishsh_01400_8.pdf
https://core.ac.uk/download/pdf/98111684.pdf,True,pdf_new/98111684.pdf
https://digitalcommons.latech.edu/cgi/viewcontent.cgi?article=1922&context=dissertations,True,pdf_new/viewcontent.cgi?article=1922&context=dissertations
https://biomatj.com/ojs/index.php/main/article/download/83/78,True,pdf_new/78
https://www.researchgate.net/profile/Guannan_Wang/publication/351995384_3D_Viscoelastic_Computational_Grains_with_Spherical_Inclusions_with_or_without_InterphasesCoatings_for_Micromechanical_Modeling_of_Heterogeneous_Materials/links/615d3770fbd5153f47e4c549/3D-Viscoelastic-Computational-Grains-with-Spherical-Inclusions-with-or-without-Interphases-Coatings-for-Micromechanical-Modeling-of-Heterogeneous-Materials.pdf,True,pdf_new/3D-Viscoelastic-Computational-Grains-with-Spherical-Inclusions-with-or-without-Interphases-Coatings-for-Micromechanical-Modeling-of-Heterogeneous-Materials.pdf
https://wjpr.s3.ap-south-1.amazonaws.com/article_issue/1593499699.pdf,True,pdf_new/1593499699.pdf
https://www.mdpi.com/2073-4360/13/19/3365/pdf,True,pdf_new/pdf
https://openresearch.surrey.ac.uk/esploro/fulltext/journalArticle/AutoMapper-A-python-tool-for-accelerating/99629764102346?repId=12157689270002346&mId=13157689220002346&institution=44SUR_INST,True,pdf_new/99629764102346?repId=12157689270002346&mId=13157689220002346&institution=44SUR_INST
https://arxiv.org/pdf/2109.02126,True,pdf_new/2109.02126
http://www.cityu.edu.hk/phy/appkchu/Publications/2014/14.78.pdf,True,pdf_new/14.78.pdf
https://www.academia.edu/download/49171890/Coagulationflocculation-based_removal_of20160927-32382-tb4hhz.pdf,True,pdf_new/Coagulationflocculation-based_removal_of20160927-32382-tb4hhz.pdf
http://ndl.ethernet.edu.et/bitstream/123456789/22380/1/88.pdf#page=241,True,pdf_new/88.pdf#page=241
http://gala.gre.ac.uk/id/eprint/26136/13/26136%20ZHOU_Data-driven_Optimization_Of_Large-scale_Dry_Port_Locations_%28AAM%29_2019.pdf,True,pdf_new/26136%20ZHOU_Data-driven_Optimization_Of_Large-scale_Dry_Port_Locations_%28AAM%29_2019.pdf
http://ndl.ethernet.edu.et/bitstream/123456789/66648/1/Miguel%20Angel%20Gardetti%20%282%29.pdf#page=152,True,pdf_new/Miguel%20Angel%20Gardetti%20%282%29.pdf#page=152
https://pdfs.semanticscholar.org/5e24/2641ca605bc8f0522510a30cff8f28e4561a.pdf,True,pdf_new/2641ca605bc8f0522510a30cff8f28e4561a.pdf
https://fixedpointtheoryandapplications.springeropen.com/track/pdf/10.1186/s13663-021-00706-3.pdf,True,pdf_new/s13663-021-00706-3.pdf
https://www.researchgate.net/profile/Yang-Xiao-11/publication/358862965_Biomaterialomics_Data_Science-driven_Pathways_to_develop_fourth-Generation_Biomaterials/links/622175f397401151d2faa34d/Biomaterialomics-Data-Science-driven-Pathways-to-develop-fourth-Generation-Biomaterials.pdf,True,pdf_new/Biomaterialomics-Data-Science-driven-Pathways-to-develop-fourth-Generation-Biomaterials.pdf
https://www.researchgate.net/profile/Roberto-Rinaldi-2/publication/41430162_Which_Controls_the_Depolymerization_of_Cellulose_in_Ionic_Liquids_The_Solid_Acid_Catalyst_or_Cellulose/links/56e4113f08ae68afa1105b96/Which-Controls-the-Depolymerization-of-Cellulose-in-Ionic-Liquids-The-Solid-Acid-Catalyst-or-Cellulose.pdf,True,pdf_new/Which-Controls-the-Depolymerization-of-Cellulose-in-Ionic-Liquids-The-Solid-Acid-Catalyst-or-Cellulose.pdf
https://www.mdpi.com/2075-4701/11/8/1164/pdf,True,pdf_new/pdf
https://www.researchgate.net/profile/Laura-Oliva-2/publication/235376220_Plasma_cells_require_autophagy_for_sustainable_immunoglobulin_production/links/571893cd08aed43f63221590/Plasma-cells-require-autophagy-for-sustainable-immunoglobulin-production.pdf,True,pdf_new/Plasma-cells-require-autophagy-for-sustainable-immunoglobulin-production.pdf
https://arxiv.org/pdf/2004.03169,True,pdf_new/2004.03169
https://pubs.rsc.org/th-th/content/getauthorversionpdf/D0EE02984J,False,
https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/app.40669,True,pdf_new/app.40669
https://onlinelibrary.wiley.com/doi/pdf/10.1002/admi.202100580?_utm_campaign=mention57529&_utm_medium=inline&_utm_content=lnk241316896300&_utm_source=xakep,True,pdf_new/admi.202100580?_utm_campaign=mention57529&_utm_medium=inline&_utm_content=lnk241316896300&_utm_source=xakep
https://pubs.acs.org/doi/pdf/10.1021/jacsau.1c00305,True,pdf_new/jacsau.1c00305
https://www.academia.edu/download/61358039/besbes201120191127-14147-uj8k87.pdf,True,pdf_new/besbes201120191127-14147-uj8k87.pdf
https://www.mdpi.com/2077-0375/2/3/510/pdf,True,pdf_new/pdf
